Region,State,District,Year,Quarter,Registered_user,Latitude,Longitude
North-Eastern Region,Arunachal Pradesh,Tawang,2018,Q3,3112,27.5879186,91.863733
North-Eastern Region,Arunachal Pradesh,Changlang,2018,Q3,2889,27.1398402,95.7382485
North-Eastern Region,Arunachal Pradesh,Lohit,2018,Q3,2612,27.8239052,95.861898
North-Eastern Region,Arunachal Pradesh,Namsai,2018,Q3,1862,27.71403055,96.01597094
North-Eastern Region,Arunachal Pradesh,West Siang,2018,Q3,1652,28.4,94.55
North-Eastern Region,Arunachal Pradesh,Lower Dibang Valley,2018,Q3,1286,28.21495625,95.87877404
North-Eastern Region,Arunachal Pradesh,Tirap,2018,Q3,1226,27.03016895,95.49791755
North-Eastern Region,Arunachal Pradesh,Papum Pare,2018,Q4,21342,27.28636665,93.6187716
North-Eastern Region,Arunachal Pradesh,West Kameng,2018,Q4,6492,27.4,92.35
North-Eastern Region,Arunachal Pradesh,East Siang,2018,Q4,4813,28.3,95.15
North-Eastern Region,Arunachal Pradesh,Tawang,2018,Q4,4085,27.5879186,91.863733
North-Eastern Region,Arunachal Pradesh,Changlang,2018,Q4,4036,27.1398402,95.7382485
North-Eastern Region,Arunachal Pradesh,Lohit,2018,Q4,3588,27.8239052,95.861898
North-Eastern Region,Arunachal Pradesh,Namsai,2018,Q4,2495,27.71403055,96.01597094
North-Eastern Region,Arunachal Pradesh,West Siang,2018,Q4,2117,28.4,94.55
North-Eastern Region,Arunachal Pradesh,Lower Dibang Valley,2018,Q4,1827,28.21495625,95.87877404
North-Eastern Region,Arunachal Pradesh,Tirap,2018,Q4,1684,27.03016895,95.49791755
North-Eastern Region,Arunachal Pradesh,Papum Pare,2019,Q1,26298,27.28636665,93.6187716
