Region,State,Pincode,Year,Quarter,Registered_user
North-Eastern Region,Arunachal Pradesh,791111,2018,Q4,6225
North-Eastern Region,Arunachal Pradesh,791113,2018,Q4,4115
North-Eastern Region,Arunachal Pradesh,791102,2018,Q4,4109
North-Eastern Region,Arunachal Pradesh,790104,2018,Q4,3034
North-Eastern Region,Arunachal Pradesh,792103,2018,Q4,2741
North-Eastern Region,Arunachal Pradesh,792001,2018,Q4,2577
North-Eastern Region,Arunachal Pradesh,791001,2018,Q4,2444
North-Eastern Region,Arunachal Pradesh,790116,2018,Q4,2206
North-Eastern Region,Arunachal Pradesh,791109,2018,Q4,2071
North-Eastern Region,Arunachal Pradesh,791110,2019,Q1,8094
North-Eastern Region,Arunachal Pradesh,791111,2019,Q1,7673
North-Eastern Region,Arunachal Pradesh,791113,2019,Q1,5140
North-Eastern Region,Arunachal Pradesh,791102,2019,Q1,5030
North-Eastern Region,Arunachal Pradesh,790104,2019,Q1,3751
