Region,State,Pincode,Year,Quarter,Total_transaction_count,Total_transaction_amount
Southern Region,Andhra Pradesh,530017,2020,Q1,1104748,1412381495.9440272
Southern Region,Andhra Pradesh,520010,2020,Q1,1098395,2059547223.1742206
Southern Region,Andhra Pradesh,522001,2020,Q1,1058410,2575723775.0488396
Southern Region,Andhra Pradesh,530026,2020,Q2,4994637,12817902607.017586
Southern Region,Andhra Pradesh,517501,2020,Q2,1708935,3203679955.4885287
Southern Region,Andhra Pradesh,517507,2020,Q2,1575118,2854711069.441047
Southern Region,Andhra Pradesh,524002,2020,Q2,1553283,3993963025.6852684
Southern Region,Andhra Pradesh,530016,2020,Q2,1067022,1893629834.0393307
Southern Region,Andhra Pradesh,516001,2020,Q2,1066066,2616099329.3322473
Southern Region,Andhra Pradesh,515001,2020,Q2,1026587,2447755903.073549
Southern Region,Andhra Pradesh,518002,2020,Q2,979822,2015820866.3250332
Southern Region,Andhra Pradesh,522001,2020,Q2,963666,2678051229.473872
Southern Region,Andhra Pradesh,520002,2020,Q2,956641,2767045048.1995325
Southern Region,Andhra Pradesh,524002,2020,Q3,5194663,13718743729.17845
Southern Region,Andhra Pradesh,530026,2020,Q3,4159532,10383207817.795242
Southern Region,Andhra Pradesh,517501,2020,Q3,2735691,5544720473.076229
Southern Region,Andhra Pradesh,516001,2020,Q3,2534360,6637577271.358326
Southern Region,Andhra Pradesh,517507,2020,Q3,2306174,4594510974.325968
Southern Region,Andhra Pradesh,520002,2020,Q3,2238996,6543183825.055463
Southern Region,Andhra Pradesh,530016,2020,Q3,1921871,3560898943.243418
Southern Region,Andhra Pradesh,515001,2020,Q3,1669413,4116758527.095812
Southern Region,Andhra Pradesh,522001,2020,Q3,1625687,4701116488.838855
Southern Region,Andhra Pradesh,518002,2020,Q3,1514873,3352462441.2241564
Southern Region,Andhra Pradesh,524002,2020,Q4,5029692,12810644736.250324
Southern Region,Andhra Pradesh,530026,2020,Q4,4235146,9849636860.464972
Southern Region,Andhra Pradesh,517501,2020,Q4,4125544,7866883789.381668
Southern Region,Andhra Pradesh,517507,2020,Q4,3420778,6749696775.855953
Southern Region,Andhra Pradesh,516001,2020,Q4,3119905,8005247952.077286
Southern Region,Andhra Pradesh,530016,2020,Q4,2981818,5591062751.070802
Southern Region,Andhra Pradesh,515001,2020,Q4,2821800,6442101736.915546
Southern Region,Andhra Pradesh,518002,2020,Q4,2219953,4809927717.539759
Southern Region,Andhra Pradesh,520010,2020,Q4,2170458,4679865894.241622
Southern Region,Andhra Pradesh,530017,2020,Q4,2027751,3252434512.586547
Southern Region,Andhra Pradesh,524002,2021,Q1,7269657,16698428355.239132
Southern Region,Andhra Pradesh,530026,2021,Q1,5875319,13567044097.312927
Southern Region,Andhra Pradesh,517501,2021,Q1,4354325,8224302893.470669
Southern Region,Andhra Pradesh,520002,2021,Q1,3591058,9183853695.408499
Southern Region,Andhra Pradesh,517507,2021,Q1,3378549,6593121540.981036
Southern Region,Andhra Pradesh,530016,2021,Q1,3144495,5679150412.005564
Southern Region,Andhra Pradesh,516001,2021,Q1,2941623,7434205012.068323
Southern Region,Andhra Pradesh,515001,2021,Q1,2815993,6225481722.602297
Southern Region,Andhra Pradesh,522001,2021,Q1,2584588,6753205746.899624
Southern Region,Andhra Pradesh,520010,2021,Q1,2291676,4716738889.930448
Southern Region,Andhra Pradesh,524002,2021,Q2,11023032,25519404146.52658
Southern Region,Andhra Pradesh,530026,2021,Q2,7850540,19042845773.20165
Southern Region,Andhra Pradesh,520002,2021,Q2,5441708,14948864290.86964
Southern Region,Andhra Pradesh,517501,2021,Q2,4614209,9215678010.439575
Southern Region,Andhra Pradesh,517507,2021,Q2,3834825,7940105016.380435
Southern Region,Andhra Pradesh,522001,2021,Q2,3427039,9832657321.439524
Southern Region,Andhra Pradesh,515001,2021,Q2,3052771,7213837063.020088
Southern Region,Andhra Pradesh,530016,2021,Q2,2892664,5705916880.595729
Southern Region,Andhra Pradesh,516001,2021,Q2,2613562,7256266063.657529
Southern Region,Andhra Pradesh,518002,2021,Q2,2553688,5906664130.524334
Southern Region,Andhra Pradesh,524002,2021,Q3,10701326,23300508690.71216
Southern Region,Andhra Pradesh,530026,2021,Q3,9780096,22841763578.29273
Southern Region,Andhra Pradesh,517501,2021,Q3,5982442,11419848822.233982
Southern Region,Andhra Pradesh,520002,2021,Q3,5320101,14633600592.216694
Southern Region,Andhra Pradesh,517507,2021,Q3,4866065,9768221617.56348
Southern Region,Andhra Pradesh,522001,2021,Q3,4242875,11355623168.660927
Southern Region,Andhra Pradesh,530016,2021,Q3,4177023,7797927714.306906
